=========================================
           MAGNETOMETER TELEMETRY DATA         
=========================================
FORMAT       : ASCII
SENSOR       : QMC5883P (Channel 0)
DATA_UNIT    : Gauss
MISSION_TIME : 20260714_130803
END_OF_HEADER
TIME_MS            X        Y        Z
102900        0.213   -0.063   -0.555
103909        0.213   -0.063   -0.550
104918        0.213   -0.063   -0.559
105927        0.211   -0.064   -0.553
106936        0.210   -0.062   -0.550
107945        0.213   -0.063   -0.556
108954        0.212   -0.064   -0.556
109963        0.212   -0.062   -0.554
110972        0.215   -0.064   -0.556
111981        0.213   -0.063   -0.552
112990        0.212   -0.064   -0.555
113999        0.212   -0.063   -0.555
115008        0.213   -0.059   -0.551
116017        0.212   -0.062   -0.552
117027        0.215   -0.064   -0.553
118036        0.211   -0.062   -0.555
119046        0.211   -0.061   -0.550
120055        0.211   -0.064   -0.550
121064        0.212   -0.063   -0.554
122073        0.211   -0.061   -0.547
123082        0.211   -0.063   -0.554
124091        0.213   -0.061   -0.556
125100        0.212   -0.060   -0.551
126109        0.214   -0.063   -0.555
127118        0.209   -0.062   -0.561
128127        0.214   -0.063   -0.557
129136        0.212   -0.064   -0.554
130146        0.213   -0.063   -0.549
131155        0.213   -0.061   -0.553
132164        0.213   -0.064   -0.555
133173        0.213   -0.062   -0.557
134183        0.213   -0.060   -0.548
135193        0.213   -0.062   -0.554
136202        0.214   -0.063   -0.553
137211        0.211   -0.060   -0.550
138220        0.213   -0.063   -0.558
139230        0.210   -0.062   -0.560
140239        0.211   -0.058   -0.550
141248        0.211   -0.065   -0.557
142257        0.212   -0.063   -0.555
143266        0.213   -0.059   -0.552
144276        0.210   -0.061   -0.554
145285        0.211   -0.062   -0.553
146294        0.214   -0.062   -0.551
147303        0.213   -0.064   -0.554
148312        0.213   -0.061   -0.556
149321        0.211   -0.060   -0.552
150330        0.212   -0.062   -0.558
151339        0.213   -0.063   -0.559
152348        0.212   -0.062   -0.554
153357        0.212   -0.062   -0.554
154366        0.215   -0.062   -0.554
155375        0.208   -0.061   -0.554
156384        0.212   -0.061   -0.555
157393        0.211   -0.065   -0.556
158402        0.212   -0.060   -0.555
159411        0.215   -0.063   -0.554
160421        0.213   -0.064   -0.558
161430        0.212   -0.061   -0.549
162439        0.214   -0.063   -0.556
163448        0.212   -0.065   -0.556
164457        0.210   -0.062   -0.546
165466        0.214   -0.063   -0.553
166475        0.211   -0.063   -0.553
167484        0.213   -0.059   -0.548
168493        0.210   -0.061   -0.553
169502        0.213   -0.063   -0.553
170511        0.214   -0.061   -0.550
171520        0.213   -0.063   -0.554
172530        0.213   -0.061   -0.554
173539        0.211   -0.064   -0.549
174548        0.212   -0.064   -0.554
175557        0.213   -0.062   -0.553
176566        0.209   -0.063   -0.560
177575        0.211   -0.060   -0.552
178584        0.216   -0.061   -0.553
179593        0.210   -0.059   -0.548
180602        0.209   -0.062   -0.554
181611        0.211   -0.062   -0.554
182620        0.210   -0.061   -0.549
183629        0.210   -0.062   -0.549
184638        0.213   -0.061   -0.554
185647        0.211   -0.058   -0.551
186656        0.210   -0.062   -0.552
187665        0.210   -0.062   -0.545
188674        0.210   -0.058   -0.553
